date,2026-04-07_15:06
model,SimCRC v0.13.0
risk_scenario,BASE
population,TOTAL
adherence,PERFECT
stooltest_type,NA
stooltest_startage,NA
stooltest_stopage,NA
stooltest_interval,NA
structuralexam_type,COL
structuralexam_startage,55
structuralexam_stopage,85
structuralexam_interval,10

age,n_alive,n_alive_nocrc,n_pos_fit,n_pos_sensa,n_pos_sdna,n_pos_sig,n_pos_ctc,n_pos_scrcol,n_neg_fit,n_neg_sensa,n_neg_sdna,n_neg_sig,n_neg_ctc,n_neg_scrcol,n_pos_fucol,n_neg_fucol,n_pos_survcol,n_neg_survcol,n_adn1to5_scr,n_adn6to9_scr,n_adn10plus_scr,n_CRCstageI_scr,n_CRCstageII_scr,n_CRCstageIII_scr,n_CRCstageIV_scr,n_adn1to5_surv,n_adn6to9_surv,n_adn10plus_surv,n_CRCstageI_surv,n_CRCstageII_surv,n_CRCstageIII_surv,n_CRCstageIV_surv,n_CRCstageI_sym,n_CRCstageII_sym,n_CRCstageIII_sym,n_CRCstageIV_sym,n_CRC_dth,n_compl_dth,n_oc_dth,n_ovrdg_crc,n_ovrdg_adn,ly,ly_nocrc,ly_crcI_initial,ly_crcII_initial,ly_crcIII_initial,ly_crcIV_initial,ly_crcI_contin,ly_crcII_contin,ly_crcIII_contin,ly_crcIV_contin,ly_crcI_termcrc,ly_crcII_termcrc,ly_crcIII_termcrc,ly_crcIV_termcrc,ly_crcI_termoc,ly_crcII_termoc,ly_crcIII_termoc,ly_crcIV_termoc,n_3ormorenonlargeadn_scr,n_3ormorenonlargeadn_surv
71,794942,792171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302,604,0,0,0,0,0,0,0,263,17,22,0,0,0,0,2,8,15,11,39,0,15534,0,0,787125.77984277,784373.044380748,2.4564339191928,6.19985420473719,6.37340167923111,2.85158187201236,837.899639989266,966.21070785871,768.532629286402,95.2297271794734,14.4557547429598,11.112203170793,3.70404669515933,5.18648474762425,8.25298402900808,14.3056732409168,6.2016207382121,1.76653677877039,0,0
72,779369,776635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60754,156159,0,0,0,0,0,0,0,50399,6453,3812,62,21,7,0,4,5,4,8,37,1,16759,0,0,770994.866836749,768195.11489027,63.0931114875228,24.3325971068682,15.6145095281983,3.11123540677443,815.316383969379,946.39709289164,761.997401947459,94.738222780222,17.446376231204,12.9952313680384,6.46626863432397,8.84921809223061,8.78793830005452,13.3393768123351,8.97003152454272,0.386906700674444,0,0
73,762572,759793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11706,28068,0,0,0,0,0,0,0,9866,1136,688,11,4,1,0,5,6,5,11,48,0,17881,0,0,753644.868234732,750884.548674205,13.9742596498267,10.62274839532,4.33902348044447,3.47000625020699,851.617069317301,947.848515148462,757.690368136455,89.6344140745539,15.1212020786668,11.4382160235718,1.86485243312303,7.1539039910363,11.8716512278188,12.5544449780136,17.5772575880401,2.92941099614836,0,0
74,744643,741912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,26,0,0,0,0,0,0,0,10,1,0,0,0,0,0,5,8,12,12,40,0,19056,0,0,735108.314628016,732397.738581571,6.17762512527639,5.5947759012454,7.8479511764658,3.6532891074973,840.573100788269,925.707477101728,743.23783734743,87.4590716885872,11.8951702274575,10.4835748153351,2.56723008657424,10.7830855370747,13.6900513069704,22.3308364194818,17.1657084419858,1.99514944991097,0,0
75,725547,722866,0,0,0,0,0,77891,0,0,0,0,0,341437,0,0,3350,7019,64135,8494,5134,82,37,8,1,2871,308,171,0,0,0,0,0,2,4,2,35,2,20481,0,0,715286.242059226,712519.344074667,80.8634063650121,39.2623171128073,13.6449017293488,2.43626856100012,825.476761821081,896.114945715274,734.244498413997,86.6813156704385,6.81812737849773,11.6446547424123,2.32085660731953,7.71692321791741,16.0879399066325,26.2243876014836,16.5626858796459,2.06589144002646,0,0
76,705029,702305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4414,8972,0,0,0,0,0,0,0,3765,447,199,1,2,0,0,0,5,6,2,26,0,21728,0,0,694123.877359596,691437.974637412,1,3.40392452615187,2.22995663379825,0.673079196978392,877.801649856045,897.540886788645,722.121142658439,80.9871776286854,10.8911461371121,11.1585858174455,3.86537988055082,3.9981769812106,17.647372192936,26.1579017448239,22.0030575893283,4.2241571538616,0,0
77,683275,680634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1248,2398,0,0,0,0,0,0,0,1080,114,52,2,0,0,0,0,5,6,9,33,0,23321,0,0,671620.228939174,669017.643238904,2,6.28886520705254,4.94363579167273,1.65935627009462,837.220722039093,867.014091148984,700.345051191754,75.7292332313562,14.4814840581144,10.5115624987268,6.47888404172369,3.77208663764303,27.0994437588379,23.4191576670855,18.5927863556426,2.53583639138378,0,0
78,659921,657357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3230,8163,0,0,0,0,0,0,0,2739,300,188,2,0,1,0,3,6,5,6,37,0,24836,0,0,647520.839844625,645002.29617858,3.58122585397386,6.19366168816518,5.9169701307741,4.26295418884364,798.140693228115,835.301342491264,684.967991836968,74.1309401567814,15.0328743483148,7.74904810344384,1.63463613089829,3.98232705988718,26.0471544626635,30.2525657613296,19.381038563326,2.19444292743053,0,0
79,635048,632576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24501,49325,0,0,0,0,0,0,0,20518,2462,1480,30,9,1,1,2,2,4,10,27,0,26625,0,0,621683.085806445,619214.55772731,32.0663710937686,10.9887648222191,5.42902956210466,3.59798475824896,760.136129898909,807.020139354889,669.479436801667,71.8637874046494,14.7904404970133,9.47429158827723,1.33852368350361,6.6876953515393,26.7953486861661,25.2620427419897,19.7693694743793,3.53965226048604,0,0
80,608396,605964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6418,13303,0,0,0,0,0,0,0,5382,666,361,8,1,0,0,4,9,12,6,34,0,28480,0,0,594150.740554204,591757.467578728,9.84843249581438,5.78949094837452,6.49524501024725,5.49750078353999,747.467452078421,781.168162133851,651.411870255549,72.3156633936304,16.6006517942742,8.34719692686645,2.4885371330046,3.78900342969332,28.5298351158854,28.493545116391,21.8841594255064,1.69875107356347,0,0
