"id_draw","AdGrowth_Exp_Rate_1_to_6_D","AdGrowth_Exp_Rate_1_to_6_P","AdGrowth_Exp_Rate_1_to_6_R","AdGrowth_Exp_Rate_6_to_10_D","AdGrowth_Exp_Rate_6_to_10_P","AdGrowth_Exp_Rate_6_to_10_R","AdNaturalHistoryPropensity_Gaussian_Variance","CancerOnset_Gompertz_Rate_D","CancerOnset_Gompertz_Rate_P","CancerOnset_Gompertz_Rate_R","CancerOnset_Gompertz_Shape_D","CancerOnset_Gompertz_Shape_P","CancerOnset_Gompertz_Shape_R","IndividuakRiskMultVariance","PreclinCancerProg_Exp_Rate_S1S2_D","PreclinCancerProg_Exp_Rate_S1S2_P","PreclinCancerProg_Exp_Rate_S1S2_R","PreclinCancerProg_Exp_Rate_S2S3_D","PreclinCancerProg_Exp_Rate_S2S3_P","PreclinCancerProg_Exp_Rate_S2S3_R","PreclinCancerProg_Exp_Rate_S3S4_D","PreclinCancerProg_Exp_Rate_S3S4_P","PreclinCancerProg_Exp_Rate_S3S4_R","alpha_lesion_adenoma","beta_age","chain","hr_SxDetS2S1_D","hr_SxDetS2S1_P","hr_SxDetS2S1_R","hr_SxDetS3S2_D","hr_SxDetS3S2_P","hr_SxDetS3S2_R","hr_SxDetS4S3_D","hr_SxDetS4S3_P","hr_SxDetS4S3_R","lp__","pSxDetS1_D","pSxDetS1_P","pSxDetS1_R","lp__.1"
12,0.0415222779053482,0.057133091390867,0.0797726642541868,0.047579561922625,0.026902278269215,0.0597148022572542,0.482097577411852,0.00123831732787217,0.00120031867780991,0.00167985055302661,0.0219385686516381,0.0220476293544119,0.0302124505174146,0.795574793377557,0.175204029188194,0.137013631300916,0.173713272650544,0.220424555474112,0.103828479587497,0.140977578248623,0.590341421934336,0.444870103247484,0.638095964375721,-6.35084005862278,0.0354130213451721,1,6.49590070755064,6.69494307461212,4.46645963495313,6.83753481165795,11.7051655389449,25.9594738497752,1.07637011549591,1.01822605674346,1.09489573642092,120.113564464779,0.0202514994476918,0.00876766154960654,0.0135127399884017,0.38505218933017
13,0.0382636842897229,0.0610977266844218,0.0767499944323455,0.049464656031548,0.0276791043090471,0.0644850796511728,0.495888925277972,0.00115743240441879,0.00132760618083037,0.00176119921216597,0.0232136012149002,0.0211579682023954,0.0300028507867034,0.799310325245886,0.205225054991695,0.128456619923707,0.168112026662351,0.236808557278757,0.100028896722094,0.170045251349364,0.552333309544639,0.397312104540721,0.746775119849907,-6.32884181616586,0.0347418023803266,1,6.61065439019371,6.59562927426561,4.94834085234072,6.53955347650153,11.4491693667467,26.662184726175,1.08449360713309,1.02435017310584,1.02646862892317,121.898150585449,0.0198017988781105,0.00843739615608687,0.0134742971932798,0.565747839049847
14,0.041404584817662,0.0489881576729332,0.0612780320814993,0.0479019287554271,0.0276030360412221,0.0608209120729727,0.477636034488777,0.00104064704134622,0.00104672507657842,0.0017588642110589,0.0236538878100302,0.0230373234588293,0.0304806378241084,0.79858693683493,0.194349040329075,0.150005211634929,0.171499634937451,0.221169269688711,0.106573940403671,0.16965575669013,0.538251888549523,0.439099430842974,0.739197248451629,-6.24439629713067,0.0338128134817917,1,6.12698342568048,6.82130572096106,4.94653907148184,6.53959821304371,11.0694057192644,25.1367975777681,1.08558389959488,1.0682307701806,1.04069079072327,122.029487451304,0.0201083107251664,0.00897661017623357,0.0135422376904301,0.579046160735162
15,0.0383160873908999,0.0634778069676565,0.0695907189319437,0.051572128180462,0.0269963318124597,0.05790538538111,0.477965760455099,0.00116818124842963,0.00142880104195934,0.00169700691568975,0.0219924426488859,0.0196524553408242,0.0316937223377555,0.783320987208662,0.217818059635196,0.121413560705061,0.150049792041441,0.246261130216978,0.103910186798793,0.148550899463053,0.615948763282188,0.436293206853894,0.646552613725305,-6.38258528927646,0.0362517310462765,1,6.52329480542602,6.36032334869273,4.83411552737428,6.56227936732489,11.4690968976369,26.5222433658305,1.08637343748456,1.04752984634351,1.03838818253972,119.251025362974,0.0207049779607666,0.00890734424472177,0.0125881882619306,0.297717057893196
16,0.0404482002014643,0.0423555987347321,0.0601270336183908,0.0567467898351042,0.026186207514094,0.0619767480792738,0.489190760223867,0.00100917063023514,0.0013579213290246,0.00174929079609112,0.022919174778106,0.0225715047822918,0.0312875693852335,0.795207555570392,0.217236840370924,0.147174975845484,0.150487946470554,0.227560300472909,0.0981791066748194,0.143672008582747,0.574273124086385,0.409376832707094,0.605054172335662,-6.3041614772416,0.0350123097496134,1,6.75558501632176,6.84976421110575,4.67059058295743,6.47288129402687,11.0081011952643,25.7941695588044,1.07776099116681,1.07253974208889,1.04869541173167,122.195821675213,0.0196772381025173,0.00871241216107809,0.0124279248621591,0.595888088570252
17,0.0220960343544974,0.067609074336934,0.0521976867465401,0.0611176659890949,0.0235567579325486,0.0571136639443092,0.495354727837039,0.00131011776105847,0.00117917331196379,0.00238416169319935,0.024845281952412,0.022913366027103,0.0304670915480049,0.784301581934893,0.214458311084704,0.127512445473368,0.155648703012222,0.2410044509872,0.116128342646084,0.169831360052514,0.645421748746498,0.436936551781543,0.752537166241386,-6.33293628029533,0.0344770341801664,1,6.99387172160562,6.99944361894153,4.94402812028808,6.895117321378,11.1329462197186,26.7358064320691,1.09322616381991,1.01248817058151,1.07146140199624,123.557579342528,0.0202283707525582,0.00892745608081191,0.0125621845508855,0.733770863520931
18,0.0399529439813108,0.0607750032301124,0.0621454760720193,0.0517813093221958,0.0262747169065184,0.0614634420608532,0.495965553991373,0.00120378104689222,0.00129259250015556,0.00197370920596141,0.0235462736856656,0.0225675861119017,0.0301605391560834,0.792653912438897,0.203131347170013,0.138587751924573,0.161451570915308,0.223666798616471,0.0911077527370897,0.160125537370011,0.586125345490727,0.386413436059342,0.678509060285753,-6.34878578244283,0.0346319092902891,1,6.3970288358766,6.44096946683939,4.90886704730625,6.56900876491453,11.0992114433257,25.6444571940151,1.07820611612193,1.09672580777532,1.01594691684042,110.873637779847,0.020525004844815,0.00812318283425075,0.0131827595589098,-0.550523032486258
19,0.0366258031821109,0.0489279552375985,0.0618806429377257,0.0482661728550531,0.0253992136298283,0.0468129000841574,0.467222691322474,0.00107018323892765,0.00124401694513771,0.00166387982152192,0.0242943242699281,0.0216631523783798,0.0335225445215487,0.797402963102924,0.200802469939308,0.174574001645208,0.17287407570575,0.233545776676431,0.100050185600978,0.178146972524866,0.598865087047682,0.426442228160451,0.72198753774314,-6.19092790098921,0.0333097884331432,1,6.33634753181819,6.88644615149083,4.84858414134659,6.83384062382535,11.0788721923397,26.5055949303706,1.06242661775796,1.065917516757,1.07685944968817,118.811077395905,0.0201229722368995,0.0087763788118859,0.0133730630351073,0.253170771876671
20,0.041269829215416,0.0568996762344241,0.0731103560750316,0.050116227298489,0.0264130063731952,0.0521852018968229,0.481621137780704,0.00104849848364308,0.00137116408954064,0.00161808236772482,0.0218027973043334,0.0191967285743808,0.0302612054731948,0.795522286837693,0.193391875747667,0.132252983808329,0.149615127560558,0.254428672366818,0.0884609736815727,0.154354056463722,0.646111326231734,0.395813486297609,0.697063929059952,-6.2501011777193,0.0353571997818231,1,6.95478443119615,6.09036800503299,4.8781583524974,6.58510670538344,11.766675494031,26.5553402513803,1.07379930471504,1.04264422441262,1.07371694735958,117.43024081148,0.0205671113634505,0.00833865299890199,0.0123385093829493,0.113356189162309
21,0.0410395877578008,0.0565187080560355,0.058132713678136,0.0542414005948826,0.0261614682359635,0.0538561381237116,0.446721400026222,0.00100144505397443,0.00103876320895256,0.0019420294605361,0.0228033132053684,0.0220319321877065,0.0304113581723333,0.786582507636351,0.199969733045207,0.174920601246707,0.149530555083667,0.236707290888548,0.0945283879716683,0.152461639056163,0.607927888020827,0.454709273527964,0.656560217105112,-6.2088341174962,0.034463875885127,1,6.64363523261939,6.30260035943732,4.7612713165975,6.32979690012556,11.3858740332798,26.6427760437473,1.04826488942781,1.06930598650544,1.06994982207186,125.206001583588,0.0204542425263879,0.00888564109775863,0.0121001023972013,0.900679439358583
22,0.0414396456004022,0.0616107899685147,0.0763186613179833,0.0546591842236414,0.02332005643145,0.0618243627080263,0.484118178351824,0.00104945577194664,0.00119177566038736,0.00157143111248088,0.0231833027499188,0.0224019469377362,0.0327999187853792,0.788521300667421,0.211809624062605,0.166762297142918,0.152973987994244,0.25946940422419,0.104582864059477,0.147419195147067,0.639860322844542,0.441247792321518,0.591615580115601,-6.30698998489378,0.0347168746564391,1,6.92183309952148,6.72545368699149,4.52148137377849,6.51401962908763,11.5129982666234,25.8486745317147,1.08600652599039,1.0403353237297,1.07263590447885,125.757872561604,0.0206738064150151,0.00880028249905773,0.0125112140673251,0.956558325661166
23,0.0357554720350219,0.0611717987520036,0.0670162714191153,0.048453440231451,0.0262608435535485,0.0638168627892958,0.472785526195085,0.0011390942960082,0.00104745691190289,0.00177424957796813,0.0232956500013974,0.0232903041867293,0.031634937285762,0.753437000654255,0.203893342525577,0.140671780724693,0.15709613750705,0.249507651223098,0.109508847734765,0.131130847418548,0.616381609906622,0.415794288582967,0.603437715112489,-6.30182422048667,0.0345123071209619,1,6.77550182925089,6.68872433468832,4.49810637670761,6.97722930406191,11.211666513995,26.751900599447,1.090734132027,1.06129132556873,1.09982266079904,124.166391889742,0.0205948359066459,0.00899950454947566,0.011688146151576,0.795415284881211
